jargon,translation,discipline
Sociocultural Factors,Social and cultural influences that affect individuals' behavior and attitudes.,Psychology
Cognitive Disturbance,"A disruption in normal cognitive processes, often related to mental illness.",Psychology
Self-Assessment,"The process of evaluating one’s own skills, abilities, and performance.",Psychology
Functional Behavior Assessment,An assessment that identifies the purpose of specific behaviors in context.,Psychology
Peer Counseling,Support offered by individuals who share similar experiences and challenges.,Psychology
Behavioral Contracts,Agreements outlining specific behaviors and consequences in therapeutic settings.,Psychology
Performance Anxiety,The fear or apprehension about performing in front of others.,Psychology
Cognitive Load Theory,A theory that examines the capacity of working memory and how it affects learning.,Psychology
Cognitive Distraction,A situation where attention is diverted from the task at hand.,Psychology
Life Skills Training,Teaching essential skills for daily living and personal development.,Psychology
Emotional Freedom Techniques,A form of alternative therapy that involves tapping on meridian points to relieve emotional distress.,Psychology
Life Transitions,Significant changes in a person's life that can impact their emotional well-being.,Psychology
